_Hex,_Red,_Green,_Blue,_Title,_Name,_grey,_X11,_SVG,
'F0FFF0,240,255,240,honeydew,,,X11,SVG,
'F0FFF0,240,255,240,honeydew1,,,X11,,
'E0EEE0,224,238,224,honeydew2,,,X11,,
'C1CDC1,193,205,193,honeydew3,,,X11,,
'838B83,131,139,131,honeydew4,,,X11,,
'FF69B4,255,105,180,HotPink,hot-pink,,X11,SVG,
'FF6EB4,255,110,180,HotPink1,,,X11,,
'EE6AA7,238,106,167,HotPink2,,,X11,,
'CD6090,205,96,144,HotPink3,,,X11,,
'8B3A62,139,58,98,HotPink4,,,X11,,
'CD5C5C,205,92,92,IndianRed,indian-red,,X11,SVG,
'FF6A6A,255,106,106,IndianRed1,,,X11,,
'EE6363,238,99,99,IndianRed2,,,X11,,
'CD5555,205,85,85,IndianRed3,,,X11,,
'8B3A3A,139,58,58,IndianRed4,,,X11,,
'4B0082,75,0,130,indigo,,,X11,SVG,
'FFFFF0,255,255,240,ivory,,,X11,SVG,
'FFFFF0,255,255,240,ivory1,,,X11,,
'EEEEE0,238,238,224,ivory2,,,X11,,
'CDCDC1,205,205,193,ivory3,,,X11,,
'8B8B83,139,139,131,ivory4,,,X11,,
'F0E68C,240,230,140,khaki,,,X11,SVG,
'FFF68F,255,246,143,khaki1,,,X11,,
'EEE685,238,230,133,khaki2,,,X11,,
'CDC673,205,198,115,khaki3,,,X11,,
'8B864E,139,134,78,khaki4,,,X11,,
'E6E6FA,230,230,250,lavender,,,X11,SVG,
'FFF0F5,255,240,245,LavenderBlush,lavender-blush,,X11,SVG,
'FFF0F5,255,240,245,LavenderBlush1,,,X11,,
'EEE0E5,238,224,229,LavenderBlush2,,,X11,,
'CDC1C5,205,193,197,LavenderBlush3,,,X11,,
'8B8386,139,131,134,LavenderBlush4,,,X11,,
'7CFC00,124,252,0,LawnGreen,lawn-green,,X11,SVG,
'FFFACD,255,250,205,LemonChiffon,lemon-chiffon,,X11,SVG,
'FFFACD,255,250,205,LemonChiffon1,,,X11,,
'EEE9BF,238,233,191,LemonChiffon2,,,X11,,
'CDC9A5,205,201,165,LemonChiffon3,,,X11,,
'8B8970,139,137,112,LemonChiffon4,,,X11,,
'ADD8E6,173,216,230,LightBlue,light-blue,,X11,SVG,
'BFEFFF,191,239,255,LightBlue1,,,X11,,
'B2DFEE,178,223,238,LightBlue2,,,X11,,
'9AC0CD,154,192,205,LightBlue3,,,X11,,
'68838B,104,131,139,LightBlue4,,,X11,,
'F08080,240,128,128,LightCoral,light-coral,,X11,SVG,
'E0FFFF,224,255,255,LightCyan,light-cyan,,X11,SVG,
'E0FFFF,224,255,255,LightCyan1,,,X11,,
'D1EEEE,209,238,238,LightCyan2,,,X11,,
'B4CDCD,180,205,205,LightCyan3,,,X11,,
'7A8B8B,122,139,139,LightCyan4,,,X11,,
'EEDD82,238,221,130,LightGoldenrod,light-goldenrod,,X11,,
'FFEC8B,255,236,139,LightGoldenrod1,,,X11,,
'EEDC82,238,220,130,LightGoldenrod2,,,X11,,
'CDBE70,205,190,112,LightGoldenrod3,,,X11,,
'8B814C,139,129,76,LightGoldenrod4,,,X11,,
'FAFAD2,250,250,210,LightGoldenrodYellow,light-goldenrod-yellow,,X11,SVG,
'D3D3D3,211,211,211,LightGray,light-gray,grey,X11,SVG,
'90EE90,144,238,144,LightGreen,light-green,,X11,SVG,
'D3D3D3,211,211,211,LightGrey,light-grey,gray,X11,SVG,
'FFB6C1,255,182,193,LightPink,light-pink,,X11,SVG,
'FFAEB9,255,174,185,LightPink1,,,X11,,
'EEA2AD,238,162,173,LightPink2,,,X11,,
'CD8C95,205,140,149,LightPink3,,,X11,,
'8B5F65,139,95,101,LightPink4,,,X11,,
'FFA07A,255,160,122,LightSalmon,light-salmon,,X11,SVG,
'FFA07A,255,160,122,LightSalmon1,,,X11,,
'EE9572,238,149,114,LightSalmon2,,,X11,,
'CD8162,205,129,98,LightSalmon3,,,X11,,
'8B5742,139,87,66,LightSalmon4,,,X11,,
'20B2AA,32,178,170,LightSeaGreen,light-sea-green,,X11,SVG,
'87CEFA,135,206,250,LightSkyBlue,light-sky-blue,,X11,SVG,
'B0E2FF,176,226,255,LightSkyBlue1,,,X11,,
'A4D3EE,164,211,238,LightSkyBlue2,,,X11,,
'8DB6CD,141,182,205,LightSkyBlue3,,,X11,,
'607B8B,96,123,139,LightSkyBlue4,,,X11,,
'8470FF,132,112,255,LightSlateBlue,light-slate-blue,,X11,,
'778899,119,136,153,LightSlateGray,light-slate-gray,gray,X11,SVG,
'778899,119,136,153,LightSlateGrey,light-slate-grey,grey,X11,SVG,
'B0C4DE,176,196,222,LightSteelBlue,light-steel-blue,,X11,SVG,
'CAE1FF,202,225,255,LightSteelBlue1,,,X11,,
'BCD2EE,188,210,238,LightSteelBlue2,,,X11,,
'A2B5CD,162,181,205,LightSteelBlue3,,,X11,,
'6E7B8B,110,123,139,LightSteelBlue4,,,X11,,
'FFFFE0,255,255,224,LightYellow,light-yellow,,X11,SVG,
'FFFFE0,255,255,224,LightYellow1,,,X11,,
